,LEA Type,Local Education Agency (LEA),Mean School Administrator Salary in dollars,Administrator to Teacher Mean Salary Ratio within LEA,Mean Teacher Salary in Dollars,LEA Teacher to State Teacher Mean Salary Ratio
24,District,Ogden City District,98564.06,1.7912918378722307,55024.01,0.9615130967342391
25,District,Park City District,73298.81,1.1426807382367448,64146.36,1.1209209442901258
26,District,Piute District,65280.0,1.2371649818632522,52765.8,0.922052168856096
27,District,Provo District,91194.81,1.740714752958095,52389.29,0.9154728719991164
28,District,Rich District,127361.33,1.868320979942898,68168.87,1.1912120053513686
29,District,Salt Lake District,111311.58,1.5510436755214196,71765.6,1.2540628044919067
30,District,San Juan District,78137.38,1.36833246094982,57104.09,0.9978613047666044
31,District,Sevier District,86816.93,1.4716250420382304,58993.92,1.0308850028867753
32,District,South Sanpete District,84984.6,1.582894931676394,53689.35,0.938190676763624
33,District,South Summit District,90732.94,1.528225870292474,59371.42,1.0374815994273978
34,District,Tintic District,83008.5,1.3954608457812225,59484.65,1.0394602289010262
35,District,Tooele District,86484.74,1.5699399124272777,55087.93,0.9626300621670247
36,District,Uintah District,87439.24,1.4471920109804828,60419.93,1.0558037118480814
37,District,Wasatch District,114070.88,1.7527147124260938,65082.4,1.137277707802402
38,District,Washington District,102462.65,1.8559522341040426,55207.59,0.9647210522121925
39,District,Wayne District,76024.67,1.3269141419553834,57294.34,1.0011858146787989
40,District,Weber District,114715.84,1.925774093739513,59568.69,1.0409287798236062
41,Charter,Academy for Math Engineering & Science,109484.5,1.8419869626062404,59438.26,1.0386495901897164
42,Charter,Advantage Arts Academy,93000.0,2.0438352106216136,45502.69,0.7951334766702408
43,Charter,American Academy of Innovation,80769.23,1.7186343057317224,46996.17,0.8212311852834561
44,Charter,American Leadership Academy,80850.0,1.6262474937484512,49715.68,0.8687530667621003
45,Charter,American Preparatory Academy,47881.06,1.063834429434767,45008.0,0.7864890519214182
46,Charter,Ascent Academies of Utah,78527.59,1.5977467274994221,49148.96,0.8588499589700431
47,Charter,Athenian eAcademy,55000.0,1.3378766001004139,41109.92,0.7183723339265319
48,Charter,Athlos Academy of Utah,0.0,0.0,45336.44,0.7922283530281785
49,Charter,Bear River Charter School,85377.0,1.9705719429441906,43326.0,0.7570970641563136
50,Charter,Beehive Science & Technology Academy,0.0,0.0,46834.92,0.8184134337810048
51,Charter,Bonneville Academy,0.0,0.0,43357.28,0.7576436642617194
52,Charter,Bridge Elementary School,85000.0,1.679458210732884,50611.56,0.8844080572490217
53,Charter,C.S. Lewis Academy,0.0,0.0,37310.0,0.6519709057764866
54,Charter,Canyon Grove Academy,0.0,0.0,45193.81,0.7897359753736382
55,Charter,Canyon Rim Academy,108528.0,1.8641308203202764,58219.09,1.0173452918998336
56,Charter,Channing Hall,107500.0,2.0892516650364024,51453.83,0.8991262436550352
57,Charter,City Academy,0.0,0.0,51558.92,0.9009626312853769
58,Charter,Davinci Academy,43466.67,1.1609622381925742,37440.21,0.6542462510362336
59,Charter,Dixie Montessori Academy,77500.0,1.8650219819913476,41554.47,0.7261405908593365
60,Charter,Dual Immersion Academy,52050.0,1.2628385553709216,41216.67,0.7202377291072244
61,Charter,Early Light Academy at Daybreak,64019.53,1.3112401469369863,48823.65,0.8531653528226792
62,Charter,East Hollywood High,63579.0,1.365845463691205,46549.19,0.8134204654908007
63,Charter,Edith Bowen Laboratory School,85456.5,1.4240108459880694,60011.13,1.0486601657134949
64,Charter,Endeavor Hall,85979.0,1.7625509932145713,48781.0,0.8524200684717983
65,Charter,Entheos Academy,77000.0,1.6262566528681253,47348.0,0.8273792132593163
66,Charter,Esperanza School,72137.67,1.6406002780513842,43970.29,0.7683556633222941
67,Charter,Excelsior Academy,75000.0,1.4484947146359188,51777.89,0.9047890067674964
68,Charter,Fast Forward High,75750.0,1.7278457105631477,43840.72,0.7660915016964175
69,Charter,Franklin Discovery Academy,69700.0,1.5769701719598865,44198.68,0.7723466479154405
70,Charter,Freedom Preparatory Academy,80585.71,1.6469735989913667,48929.57,0.8550162442281964
71,Charter,Gateway Preparatory Academy,84500.0,1.7736242552877093,47642.56,0.8325264807480732
72,Charter,George Washington Academy,100477.0,2.0547183246347385,48900.62,0.8545103595398493
73,Charter,Good Foundations Academy,90000.0,1.924572167607141,46763.64,0.8171678565587119
74,Charter,Greenwood Charter School,79500.0,1.7389371878389013,45717.58,0.7988885564864378
75,Charter,Guadalupe School,72475.0,1.5277140717906514,47440.16,0.8289896565366243
76,Charter,Hawthorn Academy,87857.33,1.831882267232748,47960.14,0.8380760095675988
77,Charter,Highmark Charter School,97263.5,2.033515630912841,47830.22,0.8358057318919493
78,Charter,Ignite Entrepreneurship Academy,90750.0,2.0883667959114494,43455.01,0.759351440102554
79,Charter,Intech Collegiate Academy,89721.5,1.7560061275212564,51094.07,0.8928396434657522
80,Charter,Itineris Early College High,98228.43,1.526269486350756,64358.51,1.124628144173816
